[0.218s] Invoking command in '/home/yong/YongJun_ws/build/yolov8_msgs': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/foxy /usr/bin/cmake --build /home/yong/YongJun_ws/build/yolov8_msgs -- -j8 -l8
[0.258s] [  0%] Built target yolov8_msgs__cpp
[0.262s] [ 12%] Built target yolov8_msgs__rosidl_generator_c
[0.284s] [ 34%] Built target yolov8_msgs__rosidl_typesupport_fastrtps_cpp
[0.284s] [ 35%] Built target yolov8_msgs__rosidl_typesupport_cpp
[0.287s] [ 47%] Built target yolov8_msgs__rosidl_typesupport_c
[0.287s] [ 59%] Built target yolov8_msgs__rosidl_typesupport_introspection_cpp
[0.287s] [ 71%] Built target yolov8_msgs__rosidl_typesupport_introspection_c
[0.307s] [ 83%] Built target yolov8_msgs__rosidl_typesupport_fastrtps_c
[0.322s] [ 83%] Built target yolov8_msgs
[0.337s] [ 84%] Built target yolov8_msgs__py
[0.362s] [ 95%] Built target yolov8_msgs__python
[0.382s] [ 99%] Built target yolov8_msgs__rosidl_typesupport_introspection_c__pyext
[0.382s] [ 99%] Built target yolov8_msgs__rosidl_typesupport_c__pyext
[0.382s] [100%] Built target yolov8_msgs__rosidl_typesupport_fastrtps_c__pyext
[0.392s] Invoked command in '/home/yong/YongJun_ws/build/yolov8_msgs' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/foxy /usr/bin/cmake --build /home/yong/YongJun_ws/build/yolov8_msgs -- -j8 -l8
[0.503s] Invoking command in '/home/yong/YongJun_ws/build/yolov8_msgs': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/foxy /usr/bin/cmake --install /home/yong/YongJun_ws/build/yolov8_msgs
[0.509s] -- Install configuration: ""
[0.510s] -- Execute custom install script
[0.510s] -- Up-to-date symlink: /home/yong/YongJun_ws/install/yolov8_msgs/share/ament_index/resource_index/rosidl_interfaces/yolov8_msgs
[0.511s] -- Up-to-date symlink: /home/yong/YongJun_ws/install/yolov8_msgs/include/yolov8_msgs/msg/bounding_box2_d.h
[0.511s] -- Up-to-date symlink: /home/yong/YongJun_ws/install/yolov8_msgs/include/yolov8_msgs/msg/bounding_box3_d.h
[0.511s] -- Up-to-date symlink: /home/yong/YongJun_ws/install/yolov8_msgs/include/yolov8_msgs/msg/detail/bounding_box2_d__functions.h
[0.511s] -- Up-to-date symlink: /home/yong/YongJun_ws/install/yolov8_msgs/include/yolov8_msgs/msg/detail/bounding_box2_d__struct.h
[0.511s] -- Up-to-date symlink: /home/yong/YongJun_ws/install/yolov8_msgs/include/yolov8_msgs/msg/detail/bounding_box2_d__type_support.h
